City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kutoarjo,-7.7169,109.9128,28.72,79,100,2.36,ID,2024-01-03
1,aripuana,-9.1667,-60.6333,22.87,100,100,0.48,BR,2024-01-03
2,thompson,55.7435,-97.8558,-22.91,77,0,2.57,CA,2024-01-03
3,west island,-12.1568,96.8225,29.99,66,100,6.17,CC,2024-01-03
4,nantucket,41.2835,-70.0995,4.25,68,3,7.21,US,2024-01-03
5,vorgashor,67.5833,63.95,-21.19,98,100,8.7,RU,2024-01-03
6,bethel,41.3712,-73.414,-0.61,85,80,0.45,US,2024-01-03
7,port-aux-francais,-49.35,70.2167,4.95,73,88,14.34,TF,2024-01-03
8,kristiansund,63.1115,7.732,-1.97,39,0,4.12,NO,2024-01-03
9,newman,37.3138,-121.0208,9.6,94,100,0.45,US,2024-01-03
10,adamstown,-25.066,-130.1015,23.99,82,89,3.44,PN,2024-01-03
11,badger,64.8,-147.5333,-18.13,93,6,2.06,US,2024-01-03
12,kailua-kona,19.6406,-155.9956,23.98,88,75,2.06,US,2024-01-03
13,belmonte,-15.8631,-38.8828,25.32,87,53,3.06,BR,2024-01-03
14,avarua,-21.2078,-159.775,25.03,83,75,6.69,CK,2024-01-03
15,lerwick,60.1545,-1.1494,3.0,88,100,13.93,GB,2024-01-03
16,ola,59.5833,151.2833,-24.82,90,77,2.63,RU,2024-01-03
17,prineville,44.2999,-120.8345,1.38,94,100,2.57,US,2024-01-03
18,tura,25.5198,90.2201,23.18,37,0,2.21,IN,2024-01-03
19,kiunga,-6.1219,141.2906,27.97,80,95,0.88,PG,2024-01-03
20,waitangi,-43.9535,-176.5597,13.23,81,89,2.1,NZ,2024-01-03
21,alliance,40.9153,-81.1059,-0.38,89,25,4.3,US,2024-01-03
22,vilyuchinsk,52.9306,158.4028,-10.85,73,43,3.31,RU,2024-01-03
23,nova sintra,14.8667,-24.7167,21.76,65,44,9.18,CV,2024-01-03
24,oneonta,42.4529,-75.0638,0.16,79,100,2.49,US,2024-01-03
25,iqaluit,63.7506,-68.5145,-23.15,70,40,12.86,CA,2024-01-03
26,stanley,54.868,-1.6985,5.43,95,75,1.03,GB,2024-01-03
27,yuzhno-kurilsk,44.0306,145.8556,-1.46,65,59,4.67,RU,2024-01-03
28,laurel,39.0993,-76.8483,2.05,78,0,3.09,US,2024-01-03
29,cidreira,-30.1811,-50.2056,21.92,89,47,6.65,BR,2024-01-03
30,invercargill,-46.4,168.35,14.45,80,81,4.47,NZ,2024-01-03
31,ushuaia,-54.8,-68.3,7.81,87,20,1.54,AR,2024-01-03
32,afaahiti,-17.75,-149.2833,25.93,84,99,9.5,PF,2024-01-03
33,edinburgh of the seven seas,-37.0676,-12.3116,17.54,98,100,5.2,SH,2024-01-03
34,linxia chengguanzhen,35.6003,103.2064,2.86,27,0,0.93,CN,2024-01-03
35,hamilton,39.1834,-84.5333,-1.13,89,95,1.34,US,2024-01-03
36,waddan,29.1614,16.139,16.55,41,12,1.15,LY,2024-01-03
37,albany,42.6001,-73.9662,2.12,81,100,2.8,US,2024-01-03
38,nova vicosa,-17.8919,-39.3719,24.91,90,100,3.83,BR,2024-01-03
39,anan,33.9167,134.65,10.88,91,100,2.37,JP,2024-01-03
40,nuku'alofa,-21.1333,-175.2,26.19,78,40,5.66,TO,2024-01-03
41,tonghua,41.7201,125.9219,-11.43,96,58,0.57,CN,2024-01-03
42,walvis bay,-22.9575,14.5053,21.53,73,0,1.03,NA,2024-01-03
43,koryazhma,61.3143,47.1691,-28.71,97,42,1.14,RU,2024-01-03
44,lihue,21.9789,-159.3672,21.31,89,100,2.57,US,2024-01-03
45,puerto natales,-51.7236,-72.4875,7.15,90,100,1.24,CL,2024-01-03
46,talnakh,69.4865,88.3972,-32.15,88,94,3.15,RU,2024-01-03
47,qarazhal,48.0078,70.7903,-6.36,88,10,3.07,KZ,2024-01-03
48,port mathurin,-19.6833,63.4167,28.22,73,89,3.1,MU,2024-01-03
49,belyy yar,53.6039,91.3903,-2.06,59,100,12.0,RU,2024-01-03
50,north bend,43.4065,-124.2243,8.81,87,64,3.39,US,2024-01-03
51,holualoa,19.6228,-155.9522,21.91,83,75,2.06,US,2024-01-03
52,broken hill,-31.95,141.4333,33.15,29,100,8.65,AU,2024-01-03
53,chernyshevsk,52.5243,117.0174,-20.01,96,100,1.57,RU,2024-01-03
54,shanghai,31.2222,121.4581,7.74,72,5,4.0,CN,2024-01-03
55,port douglas,-16.4833,145.4667,27.98,79,93,2.43,AU,2024-01-03
56,essaouira,31.5125,-9.77,9.72,93,100,1.03,MA,2024-01-03
57,colonia menno,-22.3667,-59.8167,23.98,89,41,2.49,PY,2024-01-03
58,carnarvon,-24.8667,113.6333,30.21,54,0,12.17,AU,2024-01-03
59,iskateley,67.6803,53.1512,-13.27,90,100,8.32,RU,2024-01-03
60,wailua homesteads,22.0669,-159.378,20.97,89,100,2.57,US,2024-01-03
61,cockburn town,21.4612,-71.1419,24.23,65,97,6.78,TC,2024-01-03
62,ribeira brava,32.65,-17.0667,21.11,95,86,1.68,PT,2024-01-03
63,grytviken,-54.2811,-36.5092,0.46,69,14,4.09,GS,2024-01-03
64,arkhangel'sk,64.5401,40.5433,-24.94,77,100,1.0,RU,2024-01-03
65,tazovsky,67.4667,78.7,-31.95,98,100,2.82,RU,2024-01-03
66,yaren,-0.5472,166.916,28.55,76,100,3.84,NR,2024-01-03
67,port elizabeth,-33.918,25.5701,22.4,88,75,3.09,ZA,2024-01-03
68,puerto ayora,-0.7393,-90.3518,24.19,97,47,1.79,EC,2024-01-03
69,susuman,62.7833,148.1667,-33.9,100,99,0.45,RU,2024-01-03
70,fortuna,40.5982,-124.1573,8.14,95,20,7.2,US,2024-01-03
71,krasnoarmeysk,51.0239,45.6969,0.59,98,100,4.92,RU,2024-01-03
72,ancud,-41.8697,-73.8203,11.87,95,100,1.68,CL,2024-01-03
73,obo,5.3998,26.4869,32.42,16,92,4.14,CF,2024-01-03
74,tarawa,1.419,172.984,29.05,84,75,6.17,KI,2024-01-03
75,okhotsk,59.3833,143.3,-30.65,83,65,3.08,RU,2024-01-03
76,sanctuary point,-35.1114,150.629,23.44,94,98,4.31,AU,2024-01-03
77,kapa'a,22.0752,-159.319,21.72,88,100,2.57,US,2024-01-03
78,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,80,75,3.0,RU,2024-01-03
79,emerald,-23.5333,148.1667,31.3,47,67,2.69,AU,2024-01-03
80,tavda,58.0425,65.2726,-27.95,93,6,0.45,RU,2024-01-03
81,isangel,-19.55,169.2667,26.05,77,81,5.45,VU,2024-01-03
82,ribeira grande,38.5167,-28.7,16.22,63,40,6.69,PT,2024-01-03
83,barra de santo antonio,-9.4047,-35.5072,25.6,86,17,3.68,BR,2024-01-03
84,papatowai,-46.5619,169.4708,12.86,76,90,1.99,NZ,2024-01-03
85,shijiang,27.0819,110.7933,13.41,38,7,2.06,CN,2024-01-03
86,hovd,48.0056,91.6419,-7.1,33,0,3.3,MN,2024-01-03
87,jonquiere,48.4165,-71.2488,-1.94,87,98,4.12,CA,2024-01-03
88,aasiaat,68.7098,-52.8699,-14.95,85,100,4.67,GL,2024-01-03
89,candido de abreu,-24.5669,-51.3333,17.75,98,39,1.2,BR,2024-01-03
90,ndele,8.4109,20.6473,32.06,13,100,3.03,CF,2024-01-03
91,bilibino,68.0546,166.4372,-30.98,100,100,0.05,RU,2024-01-03
92,dudinka,69.4058,86.1778,-39.62,100,97,1.34,RU,2024-01-03
93,ust'-kalmanka,52.1207,83.305,-9.3,88,100,9.26,RU,2024-01-03
94,utrik,11.2278,169.8474,26.99,74,32,9.26,MH,2024-01-03
95,olyokminsk,60.3736,120.4264,-31.99,100,59,0.59,RU,2024-01-03
96,ta`u,-14.2336,-169.5144,28.17,77,28,5.57,AS,2024-01-03
97,hawaiian paradise park,19.5933,-154.9731,20.57,97,67,0.23,US,2024-01-03
98,hermanus,-34.4187,19.2345,24.33,69,78,6.43,ZA,2024-01-03
99,tiksi,71.6872,128.8694,-36.47,100,87,1.43,RU,2024-01-03
100,olonkinbyen,70.9221,-8.7187,-0.77,97,100,6.35,SJ,2024-01-03
101,earlimart,35.8841,-119.2723,9.06,100,100,2.57,US,2024-01-03
102,bandarbeyla,9.4942,50.8122,26.65,56,97,8.78,SO,2024-01-03
103,murun-kuren,49.6342,100.1625,-8.28,66,24,8.37,MN,2024-01-03
104,anadyr,64.75,177.4833,-16.72,91,40,4.0,RU,2024-01-03
105,tralee,52.2704,-9.7026,7.9,90,82,4.07,IE,2024-01-03
106,altamira,-3.2033,-52.2064,22.4,99,100,0.87,BR,2024-01-03
107,porto belo,-27.1578,-48.5531,22.83,100,82,3.68,BR,2024-01-03
108,pisco,-13.7,-76.2167,20.57,87,96,1.63,PE,2024-01-03
109,edson,53.5835,-116.4356,-8.94,92,100,2.57,CA,2024-01-03
110,yondo,7.0062,-73.9097,22.71,99,100,0.13,CO,2024-01-03
111,jatiroto,-7.8833,111.1167,27.59,80,100,0.78,ID,2024-01-03
112,erechim,-27.6342,-52.2739,15.25,98,15,1.3,BR,2024-01-03
113,yellowknife,62.456,-114.3525,-24.21,86,74,3.58,CA,2024-01-03
114,kruisfontein,-34.0033,24.7314,21.05,78,85,5.29,ZA,2024-01-03
115,pacific grove,36.6177,-121.9166,11.35,85,84,2.68,US,2024-01-03
116,north weeki wachee,28.5501,-82.5589,10.03,92,100,3.01,US,2024-01-03
117,lepsy,46.235,78.9456,0.33,60,42,1.46,KZ,2024-01-03
118,uturoa,-16.7333,-151.4333,27.08,79,92,9.85,PF,2024-01-03
119,vila franca do campo,37.7167,-25.4333,16.23,76,6,2.22,PT,2024-01-03
120,isafjordur,66.0755,-23.124,3.02,81,75,1.54,IS,2024-01-03
121,ilulissat,69.2167,-51.1,-6.99,49,100,6.69,GL,2024-01-03
122,merizo village,13.2658,144.6691,28.1,90,84,5.45,GU,2024-01-03
123,kodiak,57.79,-152.4072,2.55,98,100,14.98,US,2024-01-03
124,gadzhiyevo,69.2551,33.3362,-16.29,75,100,10.69,RU,2024-01-03
125,margaret river,-33.95,115.0667,23.08,53,0,8.2,AU,2024-01-03
126,mariana,-20.3778,-43.4161,20.34,100,100,1.07,BR,2024-01-03
127,pindushi,62.9152,34.58,-31.44,100,38,0.89,RU,2024-01-03
128,howrah,22.5892,88.3103,24.0,53,0,4.12,IN,2024-01-03
129,whitehorse,60.7161,-135.0538,-12.72,84,100,2.06,CA,2024-01-03
130,georgetown,5.4112,100.3354,30.97,70,20,4.63,MY,2024-01-03
131,nuuk,64.1835,-51.7216,0.34,43,75,1.03,GL,2024-01-03
132,nabire,-3.3667,135.4833,26.63,85,98,1.06,ID,2024-01-03
133,nemuro,43.3236,145.575,-1.82,62,73,2.45,JP,2024-01-03
134,kyzyl-suu,42.3414,78.0056,-0.48,74,100,0.63,KG,2024-01-03
135,new norfolk,-42.7826,147.0587,16.51,98,100,1.36,AU,2024-01-03
136,hilo,19.7297,-155.09,21.45,91,41,2.24,US,2024-01-03
137,javanrud,34.7961,46.5172,8.0,33,91,2.43,IR,2024-01-03
138,mulayjah,27.271,48.4242,21.79,52,57,2.84,SA,2024-01-03
